job_title,location,experience_level,wage_amount
Electrician,New York,Entry Level,25
Electrician,New York,Mid Level,35
Electrician,New York,Senior Level,45
Plumber,Los Angeles,Entry Level,22
Plumber,Los Angeles,Mid Level,32
Plumber,Los Angeles,Senior Level,42
Carpenter,Chicago,Entry Level,20
Carpenter,Chicago,Mid Level,30
Carpenter,Chicago,Senior Level,40
Construction Worker,Houston,Entry Level,18
Construction Worker,Houston,Mid Level,28
Construction Worker,Houston,Senior Level,38
Mason,Miami,Entry Level,21
Mason,Miami,Mid Level,31
Mason,Miami,Senior Level,41
Welder,Seattle,Entry Level,24
Welder,Seattle,Mid Level,34
Welder,Seattle,Senior Level,44
Landscaper,San Francisco,Entry Level,19
Landscaper,San Francisco,Mid Level,29
Landscaper,San Francisco,Senior Level,39